"Estado","tipo delito","suma delitos","pob por cada 1000"
"Ciudad de México","Fraude",21945,2.38275
"Ciudad de México","Homicidio",1671,0.18143
"Ciudad de México","Hostigamiento sexual",0,0
"Ciudad de México","Incesto",0,0
"Ciudad de México","Incumplimiento de obligaciones de asistencia familiar",1035,0.11238
"Ciudad de México","Lesiones",10710,1.16287
"Ciudad de México","Narcomenudeo",4900,0.53203
"Ciudad de México","Otros delitos contra el patrimonio",3406,0.36982
"Ciudad de México","Otros delitos contra la familia",18,0.00195
"Ciudad de México","Otros delitos contra la sociedad",1667,0.181
"Ciudad de México","Otros delitos del Fuero Común",10505,1.14061
"Ciudad de México","Otros delitos que atentan contra la libertad personal",1355,0.14712
"Ciudad de México","Otros delitos que atentan contra la libertad y la seguridad sexual",1717,0.18643
"Ciudad de México","Otros delitos que atentan contra la vida y la integridad corporal",1017,0.11042
"Ciudad de México","Rapto",5,0.00054
"Ciudad de México","Robo",67900,7.37247
"Ciudad de México","Secuestro",20,0.00217
"Ciudad de México","Tráfico de menores",3,0.00033
"Ciudad de México","Trata de personas",92,0.00999
"Ciudad de México","Violación equiparada",1739,0.18882
"Ciudad de México","Violación simple",787,0.08545
"Ciudad de México","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Ciudad de México","Violencia familiar",36260,3.93705
"Coahuila de Zaragoza","Aborto",0,0
"Coahuila de Zaragoza","Abuso de confianza",619,0.19671
"Coahuila de Zaragoza","Abuso sexual",916,0.29109
"Coahuila de Zaragoza","Acoso sexual",481,0.15286
"Coahuila de Zaragoza","Allanamiento de morada",736,0.23389
"Coahuila de Zaragoza","Amenazas",8851,2.81272
"Coahuila de Zaragoza","Contra el medio ambiente",6,0.00191
"Coahuila de Zaragoza","Corrupción de menores",31,0.00985
"Coahuila de Zaragoza","Daño a la propiedad",7708,2.4495
"Coahuila de Zaragoza","Delitos cometidos por servidores públicos",562,0.1786
"Coahuila de Zaragoza","Despojo",381,0.12108
"Coahuila de Zaragoza","Electorales",107,0.034
"Coahuila de Zaragoza","Evasión de presos",0,0
"Coahuila de Zaragoza","Extorsión",51,0.01621
"Coahuila de Zaragoza","Falsedad",36,0.01144
"Coahuila de Zaragoza","Falsificación",130,0.04131
"Coahuila de Zaragoza","Feminicidio",20,0.00636
"Coahuila de Zaragoza","Fraude",2457,0.7808
"Coahuila de Zaragoza","Homicidio",399,0.1268
"Coahuila de Zaragoza","Hostigamiento sexual",39,0.01239
"Coahuila de Zaragoza","Incesto",0,0
"Coahuila de Zaragoza","Incumplimiento de obligaciones de asistencia familiar",252,0.08008
"Coahuila de Zaragoza","Lesiones",5599,1.77928
"Coahuila de Zaragoza","Narcomenudeo",8731,2.77459
"Coahuila de Zaragoza","Otros delitos contra el patrimonio",1553,0.49352
"Coahuila de Zaragoza","Otros delitos contra la familia",37,0.01176
"Coahuila de Zaragoza","Otros delitos contra la sociedad",0,0
"Coahuila de Zaragoza","Otros delitos del Fuero Común",2438,0.77476
"Coahuila de Zaragoza","Otros delitos que atentan contra la libertad personal",271,0.08612
"Coahuila de Zaragoza","Otros delitos que atentan contra la libertad y la seguridad sexual",76,0.02415
"Coahuila de Zaragoza","Otros delitos que atentan contra la vida y la integridad corporal",43,0.01366
"Coahuila de Zaragoza","Rapto",0,0
"Coahuila de Zaragoza","Robo",5587,1.77547
"Coahuila de Zaragoza","Secuestro",2,0.00064
"Coahuila de Zaragoza","Tráfico de menores",0,0
"Coahuila de Zaragoza","Trata de personas",16,0.00508
"Coahuila de Zaragoza","Violación equiparada",384,0.12203
"Coahuila de Zaragoza","Violación simple",97,0.03083
"Coahuila de Zaragoza","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Coahuila de Zaragoza","Violencia familiar",13022,4.13821
"Colima","Aborto",2,0.00273
"Colima","Abuso de confianza",397,0.5428
"Colima","Abuso sexual",368,0.50315
"Colima","Acoso sexual",109,0.14903
"Colima","Allanamiento de morada",158,0.21603
"Colima","Amenazas",2504,3.42361
"Colima","Contra el medio ambiente",4,0.00547
"Colima","Corrupción de menores",38,0.05196
"Colima","Daño a la propiedad",3016,4.12365
"Colima","Delitos cometidos por servidores públicos",218,0.29806
"Colima","Despojo",360,0.49221
"Colima","Electorales",29,0.03965
"Colima","Evasión de presos",0,0
"Colima","Extorsión",138,0.18868
"Colima","Falsedad",89,0.12169
"Colima","Falsificación",290,0.3965
"Colima","Feminicidio",6,0.0082
"Colima","Fraude",1458,1.99346
"Colima","Homicidio",877,1.19909
"Colima","Hostigamiento sexual",32,0.04375
"Colima","Incesto",0,0
"Colima","Incumplimiento de obligaciones de asistencia familiar",771,1.05416
"Colima","Lesiones",1939,2.65111
"Colima","Narcomenudeo",1549,2.11788
"Colima","Otros delitos contra el patrimonio",197,0.26935
"Colima","Otros delitos contra la familia",0,0
"Colima","Otros delitos contra la sociedad",151,0.20646
"Colima","Otros delitos del Fuero Común",1441,1.97022
"Colima","Otros delitos que atentan contra la libertad personal",269,0.36779
"Colima","Otros delitos que atentan contra la libertad y la seguridad sexual",44,0.06016
"Colima","Otros delitos que atentan contra la vida y la integridad corporal",0,0
"Colima","Rapto",0,0
"Colima","Robo",4446,6.07883
"Colima","Secuestro",5,0.00684
"Colima","Tráfico de menores",0,0
"Colima","Trata de personas",2,0.00273
"Colima","Violación equiparada",0,0
"Colima","Violación simple",172,0.23517
"Colima","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Colima","Violencia familiar",4245,5.80401
"Durango","Aborto",0,0
"Durango","Abuso de confianza",429,0.23409
"Durango","Abuso sexual",514,0.28047
"Durango","Acoso sexual",97,0.05293
"Durango","Allanamiento de morada",75,0.04092
"Durango","Amenazas",1144,0.62423
"Durango","Contra el medio ambiente",0,0
"Durango","Corrupción de menores",0,0
"Durango","Daño a la propiedad",1977,1.07877
"Durango","Delitos cometidos por servidores públicos",0,0
"Durango","Despojo",320,0.17461
"Durango","Electorales",5,0.00273
"Durango","Evasión de presos",0,0
"Durango","Extorsión",35,0.0191
"Durango","Falsedad",14,0.00764
"Durango","Falsificación",77,0.04202
"Durango","Feminicidio",11,0.006
"Durango","Fraude",1465,0.79939
"Durango","Homicidio",284,0.15497
"Durango","Hostigamiento sexual",19,0.01037
"Durango","Incesto",0,0
"Durango","Incumplimiento de obligaciones de asistencia familiar",79,0.04311
"Durango","Lesiones",2811,1.53384
"Durango","Narcomenudeo",807,0.44035
"Durango","Otros delitos contra el patrimonio",45,0.02455
"Durango","Otros delitos contra la familia",523,0.28538
"Durango","Otros delitos contra la sociedad",6,0.00327
"Durango","Otros delitos del Fuero Común",653,0.35631
"Durango","Otros delitos que atentan contra la libertad personal",80,0.04365
"Durango","Otros delitos que atentan contra la libertad y la seguridad sexual",255,0.13914
"Durango","Otros delitos que atentan contra la vida y la integridad corporal",11,0.006
"Durango","Rapto",0,0
"Durango","Robo",2847,1.55349
"Durango","Secuestro",0,0
"Durango","Tráfico de menores",0,0
"Durango","Trata de personas",0,0
"Durango","Violación equiparada",0,0
"Durango","Violación simple",271,0.14787
"Durango","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Durango","Violencia familiar",5004,2.73047
"Guanajuato","Aborto",22,0.00357
"Guanajuato","Abuso de confianza",1848,0.29966
"Guanajuato","Abuso sexual",1359,0.22037
"Guanajuato","Acoso sexual",417,0.06762
"Guanajuato","Allanamiento de morada",544,0.08821
"Guanajuato","Amenazas",13045,2.11531
"Guanajuato","Contra el medio ambiente",8,0.0013
"Guanajuato","Corrupción de menores",494,0.0801
"Guanajuato","Daño a la propiedad",13209,2.14191
"Guanajuato","Delitos cometidos por servidores públicos",128,0.02076
"Guanajuato","Despojo",1390,0.2254
"Guanajuato","Electorales",50,0.00811
"Guanajuato","Evasión de presos",3,0.00049
"Guanajuato","Extorsión",1027,0.16653
"Guanajuato","Falsedad",315,0.05108
"Guanajuato","Falsificación",1056,0.17124
"Guanajuato","Feminicidio",15,0.00243
"Guanajuato","Fraude",5150,0.8351
"Guanajuato","Homicidio",3772,0.61165
"Guanajuato","Hostigamiento sexual",71,0.01151
"Guanajuato","Incesto",0,0
"Guanajuato","Incumplimiento de obligaciones de asistencia familiar",2713,0.43993
"Guanajuato","Lesiones",16488,2.67361
"Guanajuato","Narcomenudeo",20211,3.27732
"Guanajuato","Otros delitos contra el patrimonio",149,0.02416
"Guanajuato","Otros delitos contra la familia",22,0.00357
"Guanajuato","Otros delitos contra la sociedad",6,0.00097
"Guanajuato","Otros delitos del Fuero Común",20984,3.40266
"Guanajuato","Otros delitos que atentan contra la libertad personal",0,0
"Guanajuato","Otros delitos que atentan contra la libertad y la seguridad sexual",22,0.00357
"Guanajuato","Otros delitos que atentan contra la vida y la integridad corporal",991,0.1607
"Guanajuato","Rapto",0,0
"Guanajuato","Robo",31658,5.13351
"Guanajuato","Secuestro",9,0.00146
"Guanajuato","Tráfico de menores",5,0.00081
"Guanajuato","Trata de personas",4,0.00065
"Guanajuato","Violación equiparada",93,0.01508
"Guanajuato","Violación simple",872,0.1414
"Guanajuato","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
"Guanajuato","Violencia familiar",15958,2.58767
"Guerrero","Aborto",5,0.00141
"Guerrero","Abuso de confianza",313,0.0884
"Guerrero","Abuso sexual",372,0.10506
"Guerrero","Acoso sexual",156,0.04406
"Guerrero","Allanamiento de morada",208,0.05875
"Guerrero","Amenazas",2953,0.83402
"Guerrero","Contra el medio ambiente",6,0.00169
"Guerrero","Corrupción de menores",10,0.00282
"Guerrero","Daño a la propiedad",2290,0.64677
"Guerrero","Delitos cometidos por servidores públicos",203,0.05733
"Guerrero","Despojo",500,0.14122
"Guerrero","Electorales",87,0.02457
"Guerrero","Evasión de presos",1,0.00028
"Guerrero","Extorsión",139,0.03926
"Guerrero","Falsedad",88,0.02485
"Guerrero","Falsificación",245,0.0692
"Guerrero","Feminicidio",21,0.00593
"Guerrero","Fraude",846,0.23894
"Guerrero","Homicidio",1800,0.50838
"Guerrero","Hostigamiento sexual",15,0.00424
"Guerrero","Incesto",0,0
"Guerrero","Incumplimiento de obligaciones de asistencia familiar",408,0.11523
"Guerrero","Lesiones",3346,0.94501
"Guerrero","Narcomenudeo",718,0.20279
"Guerrero","Otros delitos contra el patrimonio",0,0
"Guerrero","Otros delitos contra la familia",176,0.04971
"Guerrero","Otros delitos contra la sociedad",1,0.00028
"Guerrero","Otros delitos del Fuero Común",989,0.27932
"Guerrero","Otros delitos que atentan contra la libertad personal",336,0.0949
