"año","Tipo de delito","Mes","Conteo"
2015,"Otros delitos contra la familia","Junio",0
2015,"Otros delitos contra la familia","Julio",0
2015,"Otros delitos contra la familia","Agosto",0
2015,"Otros delitos contra la familia","Septiembre",0
2015,"Otros delitos contra la familia","Octubre",0
2015,"Otros delitos contra la familia","Noviembre",0
2015,"Otros delitos contra la familia","Diciembre",0
2015,"Otros delitos contra la sociedad","Enero",0
2015,"Otros delitos contra la sociedad","Febrero",0
2015,"Otros delitos contra la sociedad","Marzo",0
2015,"Otros delitos contra la sociedad","Abril",0
2015,"Otros delitos contra la sociedad","Mayo",0
2015,"Otros delitos contra la sociedad","Junio",0
2015,"Otros delitos contra la sociedad","Julio",0
2015,"Otros delitos contra la sociedad","Agosto",0
2015,"Otros delitos contra la sociedad","Septiembre",0
2015,"Otros delitos contra la sociedad","Octubre",0
2015,"Otros delitos contra la sociedad","Noviembre",0
2015,"Otros delitos contra la sociedad","Diciembre",0
2015,"Otros delitos del Fuero Común","Enero",204
2015,"Otros delitos del Fuero Común","Febrero",301
2015,"Otros delitos del Fuero Común","Marzo",103
2015,"Otros delitos del Fuero Común","Abril",283
2015,"Otros delitos del Fuero Común","Mayo",135
2015,"Otros delitos del Fuero Común","Junio",133
2015,"Otros delitos del Fuero Común","Julio",178
2015,"Otros delitos del Fuero Común","Agosto",140
2015,"Otros delitos del Fuero Común","Septiembre",213
2015,"Otros delitos del Fuero Común","Octubre",122
2015,"Otros delitos del Fuero Común","Noviembre",288
2015,"Otros delitos del Fuero Común","Diciembre",181
2015,"Otros delitos que atentan contra la libertad personal","Enero",42
2015,"Otros delitos que atentan contra la libertad personal","Febrero",78
2015,"Otros delitos que atentan contra la libertad personal","Marzo",42
2015,"Otros delitos que atentan contra la libertad personal","Abril",57
2015,"Otros delitos que atentan contra la libertad personal","Mayo",73
2015,"Otros delitos que atentan contra la libertad personal","Junio",38
2015,"Otros delitos que atentan contra la libertad personal","Julio",69
2015,"Otros delitos que atentan contra la libertad personal","Agosto",92
2015,"Otros delitos que atentan contra la libertad personal","Septiembre",74
2015,"Otros delitos que atentan contra la libertad personal","Octubre",74
2015,"Otros delitos que atentan contra la libertad personal","Noviembre",106
2015,"Otros delitos que atentan contra la libertad personal","Diciembre",53
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Enero",8
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Febrero",6
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Marzo",1
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Abril",10
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Mayo",24
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Junio",4
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Julio",9
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Agosto",4
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Septiembre",4
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Octubre",7
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Noviembre",3
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual","Diciembre",1
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Enero",7
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Febrero",12
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Marzo",5
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Abril",8
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Mayo",6
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Junio",8
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Julio",5
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Agosto",7
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Septiembre",6
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Octubre",7
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Noviembre",14
2015,"Otros delitos que atentan contra la vida y la integridad corporal","Diciembre",7
2015,"Rapto","Enero",0
2015,"Rapto","Febrero",0
2015,"Rapto","Marzo",0
2015,"Rapto","Abril",0
2015,"Rapto","Mayo",0
2015,"Rapto","Junio",0
2015,"Rapto","Julio",0
2015,"Rapto","Agosto",1
2015,"Rapto","Septiembre",0
2015,"Rapto","Octubre",0
2015,"Rapto","Noviembre",0
2015,"Rapto","Diciembre",0
2015,"Robo","Enero",932
2015,"Robo","Febrero",935
2015,"Robo","Marzo",756
2015,"Robo","Abril",783
2015,"Robo","Mayo",900
2015,"Robo","Junio",764
2015,"Robo","Julio",735
2015,"Robo","Agosto",893
2015,"Robo","Septiembre",1015
2015,"Robo","Octubre",459
2015,"Robo","Noviembre",741
2015,"Robo","Diciembre",953
2015,"Secuestro","Enero",3
2015,"Secuestro","Febrero",3
2015,"Secuestro","Marzo",1
2015,"Secuestro","Abril",1
2015,"Secuestro","Mayo",1
2015,"Secuestro","Junio",2
2015,"Secuestro","Julio",1
2015,"Secuestro","Agosto",3
2015,"Secuestro","Septiembre",2
2015,"Secuestro","Octubre",0
2015,"Secuestro","Noviembre",1
2015,"Secuestro","Diciembre",1
2015,"Tráfico de menores","Enero",0
2015,"Tráfico de menores","Febrero",1
2015,"Tráfico de menores","Marzo",0
2015,"Tráfico de menores","Abril",0
2015,"Tráfico de menores","Mayo",0
2015,"Tráfico de menores","Junio",0
2015,"Tráfico de menores","Julio",0
2015,"Tráfico de menores","Agosto",0
2015,"Tráfico de menores","Septiembre",0
2015,"Tráfico de menores","Octubre",0
2015,"Tráfico de menores","Noviembre",0
2015,"Tráfico de menores","Diciembre",0
2015,"Trata de personas","Enero",0
2015,"Trata de personas","Febrero",0
2015,"Trata de personas","Marzo",0
2015,"Trata de personas","Abril",0
2015,"Trata de personas","Mayo",0
2015,"Trata de personas","Junio",1
2015,"Trata de personas","Julio",0
2015,"Trata de personas","Agosto",0
2015,"Trata de personas","Septiembre",0
2015,"Trata de personas","Octubre",1
2015,"Trata de personas","Noviembre",0
2015,"Trata de personas","Diciembre",0
2015,"Violación equiparada","Enero",0
2015,"Violación equiparada","Febrero",0
2015,"Violación equiparada","Marzo",0
2015,"Violación equiparada","Abril",0
2015,"Violación equiparada","Mayo",0
2015,"Violación equiparada","Junio",0
2015,"Violación equiparada","Julio",0
2015,"Violación equiparada","Agosto",0
2015,"Violación equiparada","Septiembre",0
2015,"Violación equiparada","Octubre",0
2015,"Violación equiparada","Noviembre",0
2015,"Violación equiparada","Diciembre",0
2015,"Violación simple","Enero",30
2015,"Violación simple","Febrero",41
2015,"Violación simple","Marzo",14
2015,"Violación simple","Abril",24
2015,"Violación simple","Mayo",43
2015,"Violación simple","Junio",21
2015,"Violación simple","Julio",23
2015,"Violación simple","Agosto",50
2015,"Violación simple","Septiembre",34
2015,"Violación simple","Octubre",21
2015,"Violación simple","Noviembre",30
2015,"Violación simple","Diciembre",17
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Enero",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Febrero",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Marzo",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Abril",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Mayo",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Junio",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Julio",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Agosto",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Septiembre",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Octubre",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Noviembre",0
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar","Diciembre",0
2015,"Violencia familiar","Enero",100
2015,"Violencia familiar","Febrero",155
2015,"Violencia familiar","Marzo",117
2015,"Violencia familiar","Abril",174
2015,"Violencia familiar","Mayo",246
2015,"Violencia familiar","Junio",143
2015,"Violencia familiar","Julio",180
2015,"Violencia familiar","Agosto",281
2015,"Violencia familiar","Septiembre",237
2015,"Violencia familiar","Octubre",237
2015,"Violencia familiar","Noviembre",277
2015,"Violencia familiar","Diciembre",147
2016,"Aborto","Enero",0
2016,"Aborto","Febrero",0
2016,"Aborto","Marzo",0
2016,"Aborto","Abril",0
2016,"Aborto","Mayo",0
2016,"Aborto","Junio",4
2016,"Aborto","Julio",0
2016,"Aborto","Agosto",1
2016,"Aborto","Septiembre",1
2016,"Aborto","Octubre",1
2016,"Aborto","Noviembre",0
2016,"Aborto","Diciembre",0
2016,"Abuso de confianza","Enero",67
2016,"Abuso de confianza","Febrero",56
2016,"Abuso de confianza","Marzo",38
2016,"Abuso de confianza","Abril",46
2016,"Abuso de confianza","Mayo",47
2016,"Abuso de confianza","Junio",80
2016,"Abuso de confianza","Julio",30
2016,"Abuso de confianza","Agosto",34
2016,"Abuso de confianza","Septiembre",62
2016,"Abuso de confianza","Octubre",57
2016,"Abuso de confianza","Noviembre",84
2016,"Abuso de confianza","Diciembre",55
2016,"Abuso sexual","Enero",19
2016,"Abuso sexual","Febrero",23
2016,"Abuso sexual","Marzo",20
2016,"Abuso sexual","Abril",12
2016,"Abuso sexual","Mayo",26
2016,"Abuso sexual","Junio",33
2016,"Abuso sexual","Julio",23
2016,"Abuso sexual","Agosto",22
2016,"Abuso sexual","Septiembre",46
2016,"Abuso sexual","Octubre",25
2016,"Abuso sexual","Noviembre",45
2016,"Abuso sexual","Diciembre",40
2016,"Acoso sexual","Enero",6
2016,"Acoso sexual","Febrero",0
2016,"Acoso sexual","Marzo",1
2016,"Acoso sexual","Abril",0
2016,"Acoso sexual","Mayo",0
2016,"Acoso sexual","Junio",0
2016,"Acoso sexual","Julio",0
2016,"Acoso sexual","Agosto",0
2016,"Acoso sexual","Septiembre",0
2016,"Acoso sexual","Octubre",0
2016,"Acoso sexual","Noviembre",0
2016,"Acoso sexual","Diciembre",0
2016,"Allanamiento de morada","Enero",27
2016,"Allanamiento de morada","Febrero",14
2016,"Allanamiento de morada","Marzo",16
2016,"Allanamiento de morada","Abril",16
2016,"Allanamiento de morada","Mayo",16
2016,"Allanamiento de morada","Junio",28
2016,"Allanamiento de morada","Julio",4
2016,"Allanamiento de morada","Agosto",13
2016,"Allanamiento de morada","Septiembre",38
2016,"Allanamiento de morada","Octubre",32
2016,"Allanamiento de morada","Noviembre",22
2016,"Allanamiento de morada","Diciembre",31
2016,"Amenazas","Enero",173
2016,"Amenazas","Febrero",174
2016,"Amenazas","Marzo",155
2016,"Amenazas","Abril",127
2016,"Amenazas","Mayo",196
2016,"Amenazas","Junio",297
2016,"Amenazas","Julio",67
2016,"Amenazas","Agosto",174
2016,"Amenazas","Septiembre",289
2016,"Amenazas","Octubre",306
2016,"Amenazas","Noviembre",250
2016,"Amenazas","Diciembre",278
2016,"Contra el medio ambiente","Enero",0
2016,"Contra el medio ambiente","Febrero",0
2016,"Contra el medio ambiente","Marzo",0
2016,"Contra el medio ambiente","Abril",0
2016,"Contra el medio ambiente","Mayo",0
2016,"Contra el medio ambiente","Junio",0
2016,"Contra el medio ambiente","Julio",0
2016,"Contra el medio ambiente","Agosto",0
2016,"Contra el medio ambiente","Septiembre",0
2016,"Contra el medio ambiente","Octubre",0
2016,"Contra el medio ambiente","Noviembre",0
2016,"Contra el medio ambiente","Diciembre",0
2016,"Corrupción de menores","Enero",2
2016,"Corrupción de menores","Febrero",1
2016,"Corrupción de menores","Marzo",0
2016,"Corrupción de menores","Abril",0
2016,"Corrupción de menores","Mayo",1
2016,"Corrupción de menores","Junio",4
2016,"Corrupción de menores","Julio",2
2016,"Corrupción de menores","Agosto",1
2016,"Corrupción de menores","Septiembre",1
2016,"Corrupción de menores","Octubre",3
2016,"Corrupción de menores","Noviembre",3
2016,"Corrupción de menores","Diciembre",1
2016,"Daño a la propiedad","Enero",191
2016,"Daño a la propiedad","Febrero",187
2016,"Daño a la propiedad","Marzo",200
2016,"Daño a la propiedad","Abril",145
2016,"Daño a la propiedad","Mayo",249
2016,"Daño a la propiedad","Junio",278
2016,"Daño a la propiedad","Julio",88
2016,"Daño a la propiedad","Agosto",226
2016,"Daño a la propiedad","Septiembre",219
2016,"Daño a la propiedad","Octubre",623
2016,"Daño a la propiedad","Noviembre",271
2016,"Daño a la propiedad","Diciembre",215
2016,"Delitos cometidos por servidores públicos","Enero",0
2016,"Delitos cometidos por servidores públicos","Febrero",0
2016,"Delitos cometidos por servidores públicos","Marzo",0
2016,"Delitos cometidos por servidores públicos","Abril",0
2016,"Delitos cometidos por servidores públicos","Mayo",0
2016,"Delitos cometidos por servidores públicos","Junio",0
2016,"Delitos cometidos por servidores públicos","Julio",0
2016,"Delitos cometidos por servidores públicos","Agosto",0
2016,"Delitos cometidos por servidores públicos","Septiembre",0
2016,"Delitos cometidos por servidores públicos","Octubre",1
2016,"Delitos cometidos por servidores públicos","Noviembre",0
2016,"Delitos cometidos por servidores públicos","Diciembre",0
2016,"Despojo","Enero",69
2016,"Despojo","Febrero",69
2016,"Despojo","Marzo",50
2016,"Despojo","Abril",74
2016,"Despojo","Mayo",44
2016,"Despojo","Junio",83
2016,"Despojo","Julio",20
2016,"Despojo","Agosto",29
2016,"Despojo","Septiembre",76
2016,"Despojo","Octubre",73
2016,"Despojo","Noviembre",67
2016,"Despojo","Diciembre",60
2016,"Electorales","Enero",9
2016,"Electorales","Febrero",0
2016,"Electorales","Marzo",0
2016,"Electorales","Abril",0
